Variable,Value
x_Customer_1_Steel_Plant,1.0
y_Customer_1_Steel_Plant_1,1000.0
y_Customer_1_Steel_Plant_2,1000.0000000000001
y_Customer_1_Steel_Plant_3,1000.0000000000001
y_Customer_1_Steel_Plant_4,1000.0000000000001
y_Customer_1_Steel_Plant_5,1000.0000000000001
y_Customer_1_Steel_Plant_6,1000.0000000000001
y_Customer_1_Steel_Plant_7,1000.0000000000001
y_Customer_1_Steel_Plant_8,1000.0000000000001
y_Customer_1_Steel_Plant_9,1000.0000000000001
y_Customer_1_Steel_Plant_10,1000.0000000000001
y_Customer_1_Steel_Plant_11,1000.0
y_Customer_1_Steel_Plant_12,1000.0
y_Customer_1_Steel_Plant_13,1000.0
y_Customer_1_Steel_Plant_14,1000.0
y_Customer_1_Steel_Plant_15,1000.0
y_Customer_1_Steel_Plant_16,1000.0
y_Customer_1_Steel_Plant_17,1000.0
y_Customer_1_Steel_Plant_18,1000.0
y_Customer_1_Steel_Plant_19,1000.0
y_Customer_1_Steel_Plant_20,1000.0
y_Customer_1_Steel_Plant_21,1000.0
y_Customer_1_Steel_Plant_22,1000.0
y_Customer_1_Steel_Plant_23,1000.0
y_Customer_1_Steel_Plant_24,1000.0
y_Customer_1_Steel_Plant_25,1000.0
y_Customer_1_Steel_Plant_26,1000.0
y_Customer_1_Steel_Plant_27,1000.0
y_Customer_1_Steel_Plant_28,1000.0
y_Customer_1_Steel_Plant_29,1000.0
y_Customer_1_Steel_Plant_30,1000.0
x_Customer_2_Chemical_Plant,1.0
y_Customer_2_Chemical_Plant_1,500.0
y_Customer_2_Chemical_Plant_2,500.0
y_Customer_2_Chemical_Plant_3,500.0
y_Customer_2_Chemical_Plant_4,500.0
y_Customer_2_Chemical_Plant_5,500.0
y_Customer_2_Chemical_Plant_6,500.0
y_Customer_2_Chemical_Plant_7,500.0
y_Customer_2_Chemical_Plant_8,500.0
y_Customer_2_Chemical_Plant_9,500.0
y_Customer_2_Chemical_Plant_10,500.0
y_Customer_2_Chemical_Plant_11,500.0
y_Customer_2_Chemical_Plant_12,500.0
y_Customer_2_Chemical_Plant_13,500.0
y_Customer_2_Chemical_Plant_14,500.0
y_Customer_2_Chemical_Plant_15,500.0
y_Customer_2_Chemical_Plant_16,500.0
y_Customer_2_Chemical_Plant_17,500.0
y_Customer_2_Chemical_Plant_18,500.0
y_Customer_2_Chemical_Plant_19,500.0
y_Customer_2_Chemical_Plant_20,500.0
y_Customer_2_Chemical_Plant_21,500.0
y_Customer_2_Chemical_Plant_22,500.0
y_Customer_2_Chemical_Plant_23,500.0
y_Customer_2_Chemical_Plant_24,500.0
y_Customer_2_Chemical_Plant_25,500.0
y_Customer_2_Chemical_Plant_26,500.0
y_Customer_2_Chemical_Plant_27,500.0
y_Customer_2_Chemical_Plant_28,500.0
y_Customer_2_Chemical_Plant_29,500.0
y_Customer_2_Chemical_Plant_30,500.0
x_Customer_3_Airport,1.0
y_Customer_3_Airport_1,1.0
y_Customer_3_Airport_2,1.0
y_Customer_3_Airport_3,1.0
y_Customer_3_Airport_4,1.0
y_Customer_3_Airport_5,1.0
y_Customer_3_Airport_6,1.0
y_Customer_3_Airport_7,1.0
y_Customer_3_Airport_8,1.0
y_Customer_3_Airport_9,1.0
y_Customer_3_Airport_10,1.0
y_Customer_3_Airport_11,1.0000000000000353
y_Customer_3_Airport_12,1.0
y_Customer_3_Airport_13,1.000000000000011
y_Customer_3_Airport_14,1.0000000000000353
y_Customer_3_Airport_15,1.0000000000000353
y_Customer_3_Airport_16,1.000000000000011
y_Customer_3_Airport_17,1.000000000000011
y_Customer_3_Airport_18,1.000000000000011
y_Customer_3_Airport_19,1.0000000000000708
y_Customer_3_Airport_20,1.0000000000000708
y_Customer_3_Airport_21,1.0000000000000708
y_Customer_3_Airport_22,1.0000000000000708
y_Customer_3_Airport_23,1.0000000000000708
y_Customer_3_Airport_24,1.0000000000000708
y_Customer_3_Airport_25,1.0000000000000708
y_Customer_3_Airport_26,1.0000000000000708
y_Customer_3_Airport_27,1.0000000000000708
y_Customer_3_Airport_28,1.0000000000000708
y_Customer_3_Airport_29,1.0000000000000708
y_Customer_3_Airport_30,1.0000000000000708
x1,0.0
x2,1.0
x_helper_1,1.0
x_helper_2,-0.0
x_point_source,0.0
x_dac,1.0
x_ammonia_splitting,1.0
point_source_amount,0.0
dac_amount,366.19718309861753
init_investment,1869859549.8238885
capacity_photovoltaic,0.0
capacity_wind,0.46482226693494305
capacity_PEM_electrolyzer,0.20635184351500513
capacity_alkaline_electrolyzer,0.0
capacity_FT_synthesis,0.00017864671540150328
capacity_ammonia_synthesis,0.1905003503177019
capacity_ammonia_splitting,0.12708076635017276
capacity_battery,2.6892338240503397
